# RockClimbingSorting
This C++ project takes the 1000 top rated rock climbing routes across the United States and sorts and manages the data using data structures and algorithms.
Lowe Route,Question Mark Wall > Lone Peak Cirque > Central Wasatch > Wasatch Range > Utah,3.9,5.8,3,47
Star Chek,Galaxy Buttress > The Gorge > Sea to Sky (Squamish to Whistler) > British Columbia > Canada > North America > International,3.4,5.8+,3,48
Royal Arches (5.10- or 5.7 A0),Central Royal Arches > Royal Arches > H. Royal Arches Area > Valley North Side > Yosemite Valley > Yosemite National Park > California,3.3,5.10a/b A0,15,49
Flower of High Rank,(u) Northeast Buttress > Suicide Rock > Tahquitz & Suicide Rocks > California,3.8,5.9,1,50
Gold Rush,The Main Wall > Trout Creek > Central Oregon > Oregon,3.9,-5.1,1,51
Fishhook Arête,Mt. Russell > 14 - Whitney & Surrounding Peaks > High Sierra > California,3.8,5.9,8,52
Bear's Reach,East Wall > Main Formation > Lover's Leap > Highway 50 Corridor > Lake Tahoe > California,3.4,5.7,3,53
Dream of Wild Turkeys,Black Velvet Wall > 16-Black Velvet Canyon > Red Rock > Southern Nevada > Nevada,3.6,5.10a,7,54
Open Book,(h) Open Book Area > Tahquitz Rock > Tahquitz & Suicide Rocks > California,3.7,5.9,3,55
The Coffin,Coffin Buttress > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,3.8,5.9,1,56
Pratt's Crack,Pratt's Crack / Dihedrals Area > Scheelite Canyon / Pratt's Crack Gully > Pine Creek Canyon > Bishop Area > Sierra Eastside > California,3.8,5.9,1,57
Zoo View,Circus Wall > Sentinel Buttress > Moore's Wall (Routes) > Moore's Wall > 3. Piedmont Region > North Carolina,3.9,5.7+,2,58
Sacherer Cracker,The Slack to West Buttress > Southwest Base > 1. Base Routes > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California,3.8,5.10a,1,59
Cascading Crystal Kaleidoscope (CCK),h. The Arrow Wall - CCK > The Trapps > The Gunks > New York,3.7,5.8 PG13,3,60
White Punks on Dope,Voodoo Dome > The Needles > The Needles / Kern River > Western Sierra > California,3.8,5.9- PG13,6,61
Big Bad Wolf,Riding Hood Wall > 01-Calico Basin > Red Rock > Southern Nevada > Nevada,3.1,5.9,3,62
Lurking Fear,2. Southwest Face > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California,3.5,5.7 C2,19,63
West Face,Cardinal Pinnacle > Bishop Area > Sierra Eastside > California,3.8,5.10a,4,64
Walt Bailey,South and East Faces > Devils Tower > Wyoming,3.9,5.9,1,65
On the Lamb,West Face of the Lamb > Lamb Dome > Tuolumne Meadows > Yosemite National Park > California,3.8,5.9,4,66
Hospital Corner,West Wall > Main Formation > Lover's Leap > Highway 50 Corridor > Lake Tahoe > California,3.8,5.10a,2,67
Dark Shadows (Full),Dark Shadows Wall > Mescalito > 10-Pine Creek Canyon > Red Rock > Southern Nevada > Nevada,3.6,5.8,10,68
Recompense,The Prow Area > *Cathedral Ledge > New Hampshire,3.7,5.9,3,69
Whodunit,(d) Northwest Recess > Tahquitz Rock > Tahquitz & Suicide Rocks > California,3.7,5.9,8,70
Conn Diagonal, Outer Outlet > Outlets > Sylvan Lake > Custer State Park > South Dakota,3.9,5.7,3,71
Son of Easy O,c. Frog's Head - the Arch > The Trapps > The Gunks > New York,3.8,5.8,2,72
Zion,(g) Morning Glory Wall > Smith Rock > Central Oregon > Oregon,3.7,5.10a/b,4,73
Penny Lane,Penny Lane > The Smoke Bluffs > Squamish > British Columbia > Canada > North America > International,3.6,5.9,1,74
Dopey Duck,Shortoff Mountain > Linville Gorge > 2. Northern Mountains Region > North Carolina,3.8,5.9,3,75
Super Crack,7) Thunder Buttress > Beauty Mountain > New River Gorge Proper > The New River Gorge > West Virginia,3.9,5.9+,1,76
Vertigo,4. Moby Grape Area > *Cannon Cliff > New Hampshire,3.8,5.9 A0 R,4,77
Lost Arrow Tip,Lost Arrow Spire > E. Yosemite Falls Area > Valley North Side > Yosemite Valley > Yosemite National Park > California,3.8,5.7 C2,2,78
Supercrack (aka Crack Attack),Indian Creek > Northern Gorge > Red River Gorge > Kentucky,3.8,5.9+,1,79
Tachycardia,Heart Rock > Heart Rock Area > Maple Canyon Road > Maple Canyon > Central Utah > Utah,3.6,5.7,3,80
Birdland,Brass Wall > 10-Pine Creek Canyon > Red Rock > Southern Nevada > Nevada,3.4,5.7+,6,81
Bird of Fire,Isles in the Sky (Northeast Face) > Isles in the Sky > Split Rocks West > Split Rocks > Pinto Basin > Joshua Tree National Park > California,3.8,5.10a,1,82
S-Direct,The Thumb Area > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,3.8,5.9+ R,7,83
Roadside Attraction,Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Natural Bridge Region > Red River Gorge > Kentucky,3.7,5.7,2,84
Pear Buttress,J-Crack Slab Area > The Book > Lumpy Ridge > Estes Park Valley > Colorado,3.6,5.8,5,85
Southwest Arete,Grandma Peabody Boulder > Peabody Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,3.8,5.9,1,86
Pioneer Route,(s) Monkey Face > Smith Rock > Central Oregon > Oregon,3.5,5.7 C0,3,87
Ruper,Redgarden - Tower One > Redgarden Wall > Eldorado Canyon SP > Boulder > Colorado,3.6,5.8+,6,88
Godzilla,(C) Main Wall left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,3.7,5.9,1,89
Frogland,North Face > Whiskey Peak > 16-Black Velvet Canyon > Red Rock > Southern Nevada > Nevada,3.5,5.8,6,90
Four Sheets to the Wind,Junkyard Wall > Junkyard Area > New River Gorge Proper > The New River Gorge > West Virginia,3.8,5.9+,1,91
Triple Overhangs,Summit Wall > Lone Peak Cirque > Central Wasatch > Wasatch Range > Utah,3.8,5.10a,4,92
Anti-Jello Crack,Dome Rock > The Needles / Kern River > Western Sierra > California,3.8,5.10a,4,93
Skywalker,Shannon Falls Wall > Shannon Falls > Squamish > British Columbia > Canada > North America > International,3.5,5.8,5,94
Sasquatch,Pentapitch Area > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,3.8,5.9+,1,95
Culp-Bossier,Hallett Peak > RMNP - Rock > Alpine Rock > Colorado,3.6,5.8+,8,96
Rosy Crucifixion,Redgarden - Tower Two > Redgarden Wall > Eldorado Canyon SP > Boulder > Colorado,3.8,5.10a/b PG13,3,97
The Grand Traverse,Grand Teton > Grand Teton National Park > Wyoming,3.9,5.8,1,98
Open Book,Finger of Fate > The Sawtooth Range > Central Idaho > Idaho,3.7,5.8,5,99
The Line,East Wall > Main Formation > Lover's Leap > Highway 50 Corridor > Lake Tahoe > California,3.7,5.9,3,100
Sun Ribbon Arete,Temple Crag > 09 - Palisades & Surrounding Peaks > High Sierra > California,3.7,5.10a,22,101
Black September,3. Black Wall - Right > Black Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California,3.8,5.9,1,102
Reed's Pinnacle-Direct Route,Reed's Pinnacle > At. Reed's Pinnacle Area > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California,3.7,5.10a,3,103
Two Bag Face,3) Workmen's Buttress > Fern Buttress > New River Gorge Proper > The New River Gorge > West Virginia,3.9,5.9 R,1,104
Frosted Mug,Upper Beer Wall > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York,3.8,5.9,1,105
Sparerib,Sparerib Area > East Side > Gallatin Canyon > Southwest Region > Montana,3.8,5.8,2,106
Laughing Crack,Wall Area > The Smoke Bluffs > Squamish > British Columbia > Canada > North America > International,3.5,5.7,1,107
Stanley-Burgner,Prusik Peak > Stuart-Enchantments > Central-East Cascades Wenatchee & Leavenworth > Washington,3.7,5.10a,6,108
Endgame,End Pinnacle > Rockfellow Group > East Stronghold > Cochise Stronghold > Southern Arizona > Arizona,3.7,5.10a/b,5,109
Touchstone Wall,Cerberus Gendarme > Zion National Park > Southwest Utah > Utah,3.7,5.9+ C2,8,110
Kor's Flake,Sundance Buttress > Lumpy Ridge > Estes Park Valley > Colorado,3.6,5.7+,6,111
Vertical Smile,Summit Wall > Lone Peak Cirque > Central Wasatch > Wasatch Range > Utah,3.8,5.10a,1,112
The Martyr,Saint Peter's Overlook > Old Stage Road > Colorado Springs > Colorado,3.8,5.9+,2,113
Rebuffat's Arete,Redgarden - Lumpe to the top > Redgarden Wall > Eldorado Canyon SP > Boulder > Colorado,3.7,5.7,1,114
West Face,Leaning Tower > Q. Leaning Tower Area > Valley South Side > Yosemite Valley > Yosemite National Park > California,3.6,5.7 C2,11,115
Bishops Terrace,G. Church Bowl > Valley North Side > Yosemite Valley > Yosemite National Park > California,3.6,5.8,1,116
Kor-Ingalls Route,Castleton Tower > Castle Valley > Southeast Utah > Utah,3.4,5.9+,4,117
West Ridge,Prusik Peak > Stuart-Enchantments > Central-East Cascades Wenatchee & Leavenworth > Washington,3.5,5.7,4,118
McTech Arete,Crescent Spire > The Bugaboos > Purcell Mountains > Columbia Mountains > British Columbia > Canada > North America > International,3.7,-5.1,6,119
The Beast Flake,The Prow Area > *Cathedral Ledge > New Hampshire,3.8,5.9,1,120
West Crack,West Face > Daff Dome > Daff Area > Tuolumne Meadows > Yosemite National Park > California,3.6,5.9,5,121
Original Route,The Mace > Cathedral Rock Area > Sedona > Sedona Area > Northern Arizona > Arizona,3.6,5.9+,5,122
Traveler Buttress,Main Wall > Main Formation > Lover's Leap > Highway 50 Corridor > Lake Tahoe > California,3.7,5.9,4,123
Quadrophenia AKA Bara Bara,Hurricane Crag > C: Keene Region > Adirondacks > New York,3.8,5.7+ PG13,4,124
Strawberry Fields,Reflector Oven > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia,3.8,5.9+,1,125
Moby Dick,Moby Dick and Pterodactyl Terrace > Southwest Base > 1. Base Routes > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California,3.7,5.10a,1,126
Reppys Crack,4. Moby Grape Area > *Cannon Cliff > New Hampshire,3.7,5.8,1,127
Air Show,Circus Wall > Sentinel Buttress > Moore's Wall (Routes) > Moore's Wall > 3. Piedmont Region > North Carolina,3.8,5.8+,2,128
CCK Direct,h. The Arrow Wall - CCK > The Trapps > The Gunks > New York,3.8,5.9 PG13,2,129
Center Thumb,South Summit Wall > Lone Peak Cirque > Central Wasatch > Wasatch Range > Utah,3.8,5.9,5,130
Mexican Crack,Crescent Crack Buttress > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,3.7,5.10a,1,131
Modern Times,h. The Arrow Wall - CCK > The Trapps > The Gunks > New York,3.7,5.8+,2,132
Upper Diagonal,05: Pedestal Buttress > East Bluff 04 - East Rampart > Devil's Lake > Baraboo Range > Wisconsin,3.8,5.9,1,133
Marshall's Madness - Crack of Dawn,South Peak West Face (Main Area) > South Peak - West Face > Seneca Rocks > West Virginia,3.7,5.10a,2,134
Bloody Mary,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,3.8,5.9+,6,135
Directissima,i. High E > The Trapps > The Gunks > New York,3.7,5.9,2,136
Cerberus,Tricouni Nail/Cerberus > Tenpins/Switchbacks > Custer State Park > South Dakota,3.8,5.8,1,137
Direct Petzoldt Ridge,Grand Teton > Grand Teton National Park > Wyoming,3.6,5.7,6,138
Ellingwood Ledges,The Crestones > Sangre de Cristo Range > Alpine Rock > Colorado,3.5,5.7,1,139
Shoshone South Face,Shoshone Spire > Blodgett Canyon > Northwest Region > Montana,3.7,5.8+,5,140
Zanzibar Dihedral,Weller Slab > Independence Pass > Colorado,3.8,5.8,1,141
Assembly Line,East and Northeast Buttress Approach > Devils Tower > Wyoming,3.7,5.9,2,142
The Armadillo,"01. Chimney Pond (""South"") Basin - Summer Rock Routes > Katahdin > j. The Maine Highlands (inc. BSP / Katahdin ) > Maine",3.8,5.7,1,143
Holy War,Wall of Useless Conflict > Foster Falls > Tennessee,3.7,5.9,1,144
Royal Flush,Mount Royal (near Frisco) > 10 Mile Canyon > Colorado,3,5.9,8,145
South Face,I. Washington Column > Valley North Side > Yosemite Valley > Yosemite National Park > California,3.5,5.8 C1,11,146
The Nose,Nose Area > Looking Glass Rock > 1. Southern Mountains Region > North Carolina,3.5,5.8,4,147
Tribal Boundaries,Flaming Rock > City of Rocks > South Idaho > Idaho,3.7,5.10a/b,1,148
Blue Sun,Way Rambo > Indian Creek > Southeast Utah > Utah,3.6,-5.1,1,149
Sedona's Scenic Cruise,Gibraltar Rock > Gibraltar Rock Area > Sedona > Sedona Area > Northern Arizona > Arizona,3.6,5.9,5,150
Northeast Buttress,5. Higher Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California,3.7,5.9+ PG13,11,151
The Peacemaker,The Sheepshead > Sheepshead Area (Southwest) > West Stronghold > Cochise Stronghold > Southern Arizona > Arizona,3.5,5.10a,7,152
Senior Citizens in Space,Private Idaho > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,3.7,5.7+,1,153
The Book of Solemnity,Barber Wall > *Cathedral Ledge > New Hampshire,3.7,5.10a,2,154
Autumn,Long Wall > Northern Gorge > Red River Gorge > Kentucky,3.7,5.9,1,155
Edward's Crack,Walt's Wall > Vedauwoo > Wyoming,3.6,5.7,2,156
East Face,Mt. Whitney > 14 - Whitney & Surrounding Peaks > High Sierra > California,3.4,5.7,10,157
Rock On,The Apron > The Chief > Squamish > British Columbia > Canada > North America > International,3.6,5.10a,5,158
On The Loose,The Spider's Web > B: Chapel Pond Pass > Adirondacks > New York,3.7,5.10a,1,159
Old Town,The Precipice aka The South Wall > -Acadia National Park > Maine,3.7,5.7+,1,160
Bloody Fingers,Super Hits - Bloody Fingers > Breadloaves > City of Rocks > South Idaho > Idaho,3.7,5.10a,1,161
Diedre,The Apron > The Chief > Squamish > British Columbia > Canada > North America > International,3.4,5.8,6,162
Straight and Narrow,Shortoff Mountain > Linville Gorge > 2. Northern Mountains Region > North Carolina,3.7,5.10a,3,163
Sour Mash,Black Velvet Wall > 16-Black Velvet Canyon > Red Rock > Southern Nevada > Nevada,3.6,5.10a,6,164
Fingertrip,West Face - Right Side > (g) West Face > Tahquitz Rock > Tahquitz & Suicide Rocks > California,3.5,5.7,4,165
The Zip,The Zip > The Smoke Bluffs > Squamish > British Columbia > Canada > North America > International,3.7,5.10a,1,166
Plumber's Crack,Plumber's Crack > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada,3.6,5.9 V2 R,1,167
The El,Pitchoff Chimney Cliff > C: Keene Region > Adirondacks > New York,3.7,5.8,3,168
Mountaineer's Route,The Elephant's Perch > The Sawtooth Range > Central Idaho > Idaho,3.5,5.9,7,169
Wheat Thin,Elephant Rock - East > Elephant Rock > City of Rocks > South Idaho > Idaho,3.6,5.7,1,170
Finger of Fate,The Titan > Fisher Towers > Southeast Utah > Utah,3.6,5.8 C2+,8,171
Green Monster,Green Monster Slab > Rock Canyon > Southern Wasatch > Wasatch Range > Utah,3.7,5.9,1,172
West Pole,South Peak West Face (Main Area) > South Peak - West Face > Seneca Rocks > West Virginia,3.7,5.7+,2,173
Spaceshot,Leaning Wall > Zion National Park > Southwest Utah > Utah,3.5,5.7 C2,8,174
Double Cross,The Old Woman - West Face > The Old Woman > Hidden Valley Campground > Hidden Valley Area > Joshua Tree National Park > California,3.5,5.7+,1,175
Boi-oi-oi-ing!,Orange Pillar > Patricia Bowl > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California,3.7,5.10a,3,176
The Diagonal,Wallface > E: High Peaks Region > Adirondacks > New York,3.4,5.8,7,177
Gordon's Hangover,Green Adjective Gully > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,3.7,5.9+,1,178
The Golden Dream,s. The Golden Wall > Peterskill > The Gunks > New York,3.7,5.9,1,179
Skyline,Morning Glory Spire > City of Rocks > South Idaho > Idaho,3.6,5.8,1,180
Handcracker Direct,West Ridge - part C - Pony Express to Long John > The West Ridge > Eldorado Canyon SP > Boulder > Colorado,3.6,5.10a,5,181
Pentapitch,Pentapitch Area > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,3.5,5.8,5,182
Weird Water,Middle Marker Area > Marker > Magna Carta > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota,3.7,5.7,1,183
Mile High Club,Morning Star Peak > Glacier Peak Wilderness > Darrington and Mountain Loop Hwy > Northwest Region > Washington,3.5,5.10a,7,184
Soler,South and East Faces > Devils Tower > Wyoming,3.6,5.9,2,185
In Pursuit of Excellence,T-Wall East > The Tennessee Wall > Tennessee,3.7,5.9+,1,186
Leonids,Left Wall > The Wedge > El Cajon Mountain > South San Diego County > San Diego County > California,3.6,5.9,3,187
Blown Away,West Face > Daff Dome > Daff Area > Tuolumne Meadows > Yosemite National Park > California,3.7,5.9 PG13,5,188
Hobbit Book,West Face > Mariuolumne Dome > Tuolumne Meadows > Yosemite National Park > California,3.6,5.7,4,189
Forest Lawn,Bastion Towers > Rockfellow Group > East Stronghold > Cochise Stronghold > Southern Arizona > Arizona,3.7,5.9+,3,190
They Died Laughing,The North End > *Cathedral Ledge > New Hampshire,3.7,5.9,1,191
West Face Variation,(s) Monkey Face > Smith Rock > Central Oregon > Oregon,3.7,5.8 C0,5,192
Armatron,Brownstone Wall > 11-Juniper Canyon > Red Rock > Southern Nevada > Nevada,3.5,-5.9,6,193
Toxic Shock,Toxic - Tang Area > Inner Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,3.7,5.9,1,194
Fear of Flying,Upper Spire > Phantom Spires > Highway 50 Corridor > Lake Tahoe > California,3.7,5.9+,2,195
Edge of Time,The Fin > Jurassic Park - Lily Lake > CO Hwy 7 & Tributaries > Estes Park Valley > Colorado,3.4,5.9+,1,196
Ants' Line,i. High E > The Trapps > The Gunks > New York,3.6,5.9,1,197
Otto's Route,Independence Monument > Colorado National Monument > Grand Junction Area > Colorado,3.4,5.8+,5,198
Lost Arrow,Lost Arrow Spire > City of Rocks > South Idaho > Idaho,3.6,5.7 R,2,199
Rye Crisp,Elephant Rock - East > Elephant Rock > City of Rocks > South Idaho > Idaho,3.6,5.8,1,200
Lonesome Dove,Jimmy Cliff > *Rumney > New Hampshire,3.6,5.10a,1,201
Gossamer,Picture Window > Monster North > Magna Carta > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota,3.7,5.7,1,202
Gambit,Shirt Tail Peak > Eldorado Canyon SP > Boulder > Colorado,3.6,5.8,5,203
Gobbler's Grunt,Turkey Rock > Turkey Rocks > South Platte > Colorado,3.7,5.9,3,204
One Hand Clapping,1. Black Wall - Left > Black Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California,3.6,5.9,4,205
Garfield Goes To Washington,White House Wall > Emancipation > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota,3.7,5.8,3,206
27 Years of Climbing,The Gallery > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,3.5,5.8,1,207
Mainliner,Sundance Buttress > Lumpy Ridge > Estes Park Valley > Colorado,3.6,5.9,5,208
Ecstasy,South End > Seneca Rocks > West Virginia,3.6,5.7,3,209
Straight Shooter,Straight Shooter Wall > 10-Pine Creek Canyon > Red Rock > Southern Nevada > Nevada,3.6,5.9+,1,210
Triple S,South Peak West Face (Main Area) > South Peak - West Face > Seneca Rocks > West Virginia,3.6,5.8+,2,211
Climb of the Ancient Mariner,The Bookend > Lumpy Ridge > Estes Park Valley > Colorado,3.7,5.10a,3,212
Princely Ambitions,(C) Main Wall left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,3.6,5.9,2,213
"Titties and Beer  (aka ""World's Hardest 5.8"")",Sun Wall > Looking Glass Rock > 1. Southern Mountains Region > North Carolina,3.6,5.10a,5,214
Cruel Sister,(3) Catwalk Cliff > West Side > (z) Lower Gorge > Smith Rock > Central Oregon > Oregon,3.6,5.10a,1,215
Yellow Ridge,a. Beginning of cliff to Gelsa > The Near Trapps > The Gunks > New York,3.6,5.7,3,216
Cake Walk,T-Wall East > The Tennessee Wall > Tennessee,3.7,5.10a,1,217
Satan's Corner,Dihedrals Area > Gate Buttress > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,3.6,5.8,2,218
Soler,Upper Broadway > South Peak - East Face > Seneca Rocks > West Virginia,3.6,5.7,2,219
Esthesia,The Spider's Web > B: Chapel Pond Pass > Adirondacks > New York,3.7,5.10a,1,220
The Perfect Lie Back,6 - Liebacks Area > The Fortress > Woodfords Canyon > Carson Pass Highway (88) > Lake Tahoe > California,3.7,5.8,1,221
The Prow,I. Washington Column > Valley North Side > Yosemite Valley > Yosemite National Park > California,3.6,5.8 C2,12,222
Phobos,Phobos/Deimos Cliff > Tuolumne Meadows > Yosemite National Park > California,3.7,5.9+,3,223
Black and Tan,M) Fantasy Area > Endless Wall > New River Gorge Proper > The New River Gorge > West Virginia,3.6,5.10a,1,224
Loose Ends,J-Crack Slab Area > The Book > Lumpy Ridge > Estes Park Valley > Colorado,3.6,5.9,5,225
Pleasant Overhangs,South Peak West Face (Main Area) > South Peak - West Face > Seneca Rocks > West Virginia,3.6,5.7,3,226
Southwest Rib,South Early Winters Spire > Liberty Bell Group > Washington Pass > North Cascades > Hwy 20 and North Cascades National Park > Northwest Region > Washington,3.4,5.8,7,227
Arachnid,Tower Rock > Northern Gorge > Red River Gorge > Kentucky,3.7,5.8+,1,228
Gamesmanship,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,3.6,5.8+,5,229
Guppy,Creek Side > Clear Creek Canyon > Golden > Colorado,3.5,5.8,1,230
Tulgey Wood,West Face > Devils Tower > Wyoming,3.6,5.10a,3,231
White Lightning,Table Rock > Linville Gorge > 2. Northern Mountains Region > North Carolina,3.6,5.8+,2,232
TR,The Spider's Web > B: Chapel Pond Pass > Adirondacks > New York,3.7,5.10a/b,1,233
Straw Turkey,Turkey Rock > Turkey Rocks > South Platte > Colorado,3.7,5.10a,3,234
Cheaper Than a Movie,Chica Bonita Wall > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,3.6,5.8,1,235
